時間,timeStep,TSPS,,並進バネ,並進ダンパ,回転バネ,回転ダンパ,floorDF,floorSF,floorCR,
1.73312,0.01197,83.5422,,100000,1000,100000,100,0,0,0,
1.74509,0.011968,83.5562,,100000,1000,100000,100,0,0,0,
1.75705,0.011966,83.5701,,100000,1000,100000,100,0,0,0,
1.76902,0.011968,83.5562,,100000,1000,100000,100,0,0,0,
1.78099,0.011971,83.5352,,100000,1000,100000,100,0,0,0,
1.79296,0.011967,83.5631,,100000,1000,100000,100,0,0,0,
1.80492,0.011962,83.5981,,100000,1000,100000,100,0,0,0,
1.81689,0.011974,83.5143,,100000,1000,100000,100,0,0,0,
1.82886,0.011962,83.5981,,100000,1000,100000,100,0,0,0,
1.84082,0.011967,83.5631,,100000,1000,100000,100,0,0,0,
1.85279,0.011966,83.5701,,100000,1000,100000,100,0,0,0,
1.86476,0.011968,83.5562,,100000,1000,100000,100,0,0,0,
1.87672,0.011967,83.5631,,100000,1000,100000,100,0,0,0,
1.88869,0.011966,83.5701,,100000,1000,100000,100,0,0,0,
1.90066,0.01197,83.5422,,100000,1000,100000,100,0,0,0,
1.91263,0.011969,83.5492,,100000,1000,100000,100,0,0,0,
1.92459,0.011965,83.5771,,100000,1000,100000,100,0,0,0,
1.93656,0.011968,83.5562,,100000,1000,100000,100,0,0,0,
1.94952,0.012964,77.1367,,100000,1000,100000,100,0,0,0,
1.96152,0.011995,83.3681,,100000,1000,100000,100,0,0,0,
1.97348,0.01196,83.612,,100000,1000,100000,100,0,0,0,
1.98543,0.011949,83.689,,100000,1000,100000,100,0,0,0,
1.99743,0.011998,83.3472,,100000,1000,100000,100,0,0,0,
2.00939,0.011965,83.5771,,100000,1000,100000,100,0,0,0,
2.02136,0.011971,83.5352,,100000,1000,100000,100,0,0,0,
2.03332,0.011961,83.605,,100000,1000,100000,100,0,0,0,
2.04529,0.011968,83.5562,,100000,1000,100000,100,0,0,0,
2.05725,0.01196,83.612,,100000,1000,100000,100,0,0,0,
2.0692,0.011948,83.696,,100000,1000,100000,100,0,0,0,
2.08117,0.011968,83.5562,,100000,1000,100000,100,0,0,0,
2.09314,0.011969,83.5492,,100000,1000,100000,100,0,0,0,
2.1051,0.011964,83.5841,,100000,1000,100000,100,0,0,0,
2.11707,0.011971,83.5352,,100000,1000,100000,100,0,0,0,
2.12904,0.011968,83.5562,,100000,1000,100000,100,0,0,0,
2.14101,0.011968,83.5562,,100000,1000,100000,100,0,0,0,
2.15297,0.011966,83.5701,,100000,1000,100000,100,0,0,0,
2.16494,0.011969,83.5492,,100000,1000,100000,100,0,0,0,
2.17694,0.011995,83.3681,,100000,1000,100000,100,0,0,0,
2.18888,0.011942,83.7381,,100000,1000,100000,100,0,0,0,
2.20085,0.011966,83.5701,,100000,1000,100000,100,0,0,0,
2.21282,0.01197,83.5422,,100000,1000,100000,100,0,0,0,
2.22478,0.011965,83.5771,,100000,1000,100000,100,0,0,0,
2.23675,0.011967,83.5631,,100000,1000,100000,100,0,0,0,
2.24872,0.011971,83.5352,,100000,1000,100000,100,0,0,0,
2.26069,0.011973,83.5213,,100000,1000,100000,100,0,0,0,
2.27266,0.011963,83.5911,,100000,1000,100000,100,0,0,0,
2.28462,0.011965,83.5771,,100000,1000,100000,100,0,0,0,
2.29659,0.011967,83.5631,,100000,1000,100000,100,0,0,0,
2.30856,0.01197,83.5422,,100000,1000,100000,100,0,0,0,
2.32152,0.012962,77.1486,,100000,1000,100000,100,0,0,0,
2.33349,0.011971,83.5352,,100000,1000,100000,100,0,0,0,
2.34545,0.011965,83.5771,,100000,1000,100000,100,0,0,0,
2.35742,0.011967,83.5631,,100000,1000,100000,100,0,0,0,
2.36939,0.011965,83.5771,,100000,1000,100000,100,0,0,0,
2.38136,0.011968,83.5562,,100000,1000,100000,100,0,0,0,
2.39332,0.011969,83.5492,,100000,1000,100000,100,0,0,0,
2.40529,0.011965,83.5771,,100000,1000,100000,100,0,0,0,
2.41726,0.011971,83.5352,,100000,1000,100000,100,0,0,0,
2.42923,0.011968,83.5562,,100000,1000,100000,100,0,0,0,
2.4412,0.011968,83.5562,,100000,1000,100000,100,0,0,0,
2.45317,0.011969,83.5492,,100000,1000,100000,100,0,0,0,
2.46513,0.011965,83.5771,,100000,1000,100000,100,0,0,0,
2.47712,0.01199,83.4028,,100000,1000,100000,100,0,0,0,
2.48906,0.011943,83.7311,,100000,1000,100000,100,0,0,0,
2.50103,0.01197,83.5422,,100000,1000,100000,100,0,0,0,
2.51303,0.011999,83.3403,,100000,1000,100000,100,0,0,0,
2.52497,0.011935,83.7872,,100000,1000,100000,100,0,0,0,
2.53694,0.011969,83.5492,,100000,1000,100000,100,0,0,0,
2.54891,0.011971,83.5352,,100000,1000,100000,100,0,0,0,
2.56087,0.011965,83.5771,,100000,1000,100000,100,0,0,0,
2.57284,0.011967,83.5631,,100000,1000,100000,100,0,0,0,
2.58484,0.011998,83.3472,,100000,1000,100000,100,0,0,0,
2.5968,0.011965,83.5771,,100000,1000,100000,100,0,0,0,
2.60877,0.011965,83.5771,,100000,1000,100000,100,0,0,0,
2.62071,0.011943,83.7311,,100000,1000,100000,100,0,0,0,
2.6327,0.011993,83.382,,100000,1000,100000,100,0,0,0,
2.64467,0.011969,83.5492,,100000,1000,100000,100,0,0,0,
2.65664,0.011967,83.5631,,100000,1000,100000,100,0,0,0,
2.66861,0.011968,83.5562,,100000,1000,100000,100,0,0,0,
2.68057,0.011966,83.5701,,100000,1000,100000,100,0,0,0,
2.69354,0.012962,77.1486,,100000,1000,100000,100,0,0,0,
2.70551,0.011972,83.5282,,100000,1000,100000,100,0,0,0,
2.71748,0.011969,83.5492,,100000,1000,100000,100,0,0,0,
2.72944,0.011966,83.5701,,100000,1000,100000,100,0,0,0,
2.74141,0.011967,83.5631,,100000,1000,100000,100,0,0,0,
2.75336,0.011947,83.703,,100000,1000,100000,100,0,0,0,
2.76532,0.011961,83.605,,100000,1000,100000,100,0,0,0,
2.77732,0.012003,83.3125,,100000,1000,100000,100,0,0,0,
2.78925,0.01193,83.8223,,100000,1000,100000,100,0,0,0,
2.80125,0.011997,83.3542,,100000,1000,100000,100,0,0,0,
2.81318,0.011938,83.7661,,100000,1000,100000,100,0,0,0,
2.82518,0.011992,83.3889,,100000,1000,100000,100,0,0,0,
2.83712,0.011941,83.7451,,100000,1000,100000,100,0,0,0,
2.84911,0.011996,83.3611,,100000,1000,100000,100,0,0,0,
2.86105,0.011941,83.7451,,100000,1000,100000,100,0,0,0,
2.87305,0.011998,83.3472,,100000,1000,100000,100,0,0,0,
2.88505,0.011992,83.3889,,100000,1000,100000,100,0,0,0,
2.89704,0.011996,83.3611,,100000,1000,100000,100,0,0,0,
2.90893,0.011886,84.1326,,100000,1000,100000,100,0,0,0,
2.92093,0.012002,83.3195,,100000,1000,100000,100,0,0,0,
2.93292,0.011994,83.375,,100000,1000,100000,100,0,0,0,
